ФИО,Факультет,Ученое звание,Ученая степень
Волков В.В.,ЕМФ,старший преподаватель,кандидат наук
Иванов И.И.,ИЭиУ,старший преподаватель,доктор наук
Кузнецов К.К.,ЮФ,старший преподаватель,доктор наук
Кузнецов К.К.,ИЭиУ,профессор,кандидат наук
Сидоров С.С.,ФИиВТ,старший преподаватель,без степени
Морозов М.М.,ЮФ,профессор,доктор наук
Васильева В.В.,ГФ,ассистент,доктор наук
Смирнова А.А.,ФИиВТ,профессор,доктор наук
Смирнова А.А.,ГФ,доцент,без степени
Иванов И.И.,ЮФ,профессор,доктор наук
Волков В.В.,ФИиВТ,профессор,без степени
Морозов М.М.,ЕМФ,старший преподаватель,без степени
Иванов И.И.,ГФ,старший преподаватель,без степени
Волков В.В.,ЮФ,ассистент,доктор наук
Иванов И.И.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ЮФ,ассистент,без степени
Петров П.П.,ЮФ,старший преподаватель,без степени
Васильева В.В.,ЮФ,старший преподаватель,кандидат наук
Петров П.П.,ЕМФ,ассистент,доктор наук
Волков В.В.,ФИиВТ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Смирнова А.А.,ЮФ,доцент,без степени
Морозов М.М.,ЮФ,ассистент,кандидат наук
Федорова Ф.Ф.,ИЭиУ,старший преподаватель,без степени
Васильева В.В.,ЕМФ,старший преподаватель,доктор наук
Волков В.В.,ИЭиУ,доцент,без степени
Волков В.В.,ЮФ,ассистент,кандидат наук
Кузнецов К.К.,ФИиВТ,профессор,кандидат наук
Сидоров С.С.,ФИиВТ,старший преподаватель,без степени
Федорова Ф.Ф.,ЕМФ,профессор,кандидат наук
Волков В.В.,ЕМФ,ассистент,без степени
Морозов М.М.,ГФ,профессор,без степени
Сидоров С.С.,ЮФ,профессор,кандидат наук
Васильева В.В.,ЕМФ,ассистент,кандидат наук
Смирнова А.А.,ФИиВТ,ассистент,доктор наук
Михайлов М.М.,ИЭиУ,старший преподаватель,кандидат наук
Смирнова А.А.,ФИиВТ,ассистент,кандидат наук
Петров П.П.,ЮФ,старший преподаватель,доктор наук
Иванов И.И.,ЮФ,профессор,доктор наук
Морозов М.М.,ИЭиУ,профессор,без степени
Смирнова А.А.,ФИиВТ,ассистент,без степени
Михайлов М.М.,ГФ,доцент,без степени
Михайлов М.М.,ЮФ,доцент,кандидат наук
Иванов И.И.,ЕМФ,доцент,без степени
Сидоров С.С.,ИЭиУ,профессор,кандидат наук
Морозов М.М.,ГФ,доцент,доктор наук
Морозов М.М.,ЮФ,профессор,доктор наук
Кузнецов К.К.,ГФ,доцент,доктор наук
Федорова Ф.Ф.,ИЭиУ,профессор,без степени
Волков В.В.,ЕМФ,ассистент,доктор наук
Волков В.В.,ФИиВТ,доцент,без степени
Кузнецов К.К.,ГФ,старший преподаватель,доктор наук
Михайлов М.М.,ГФ,доцент,без степени
Смирнова А.А.,ФИиВТ,доцент,кандидат наук
Смирнова А.А.,ЮФ,профессор,кандидат наук
Кузнецов К.К.,ФИиВТ,ассистент,кандидат наук
Петров П.П.,ИЭиУ,ассистент,кандидат наук
Смирнова А.А.,ГФ,ассистент,без степени
Михайлов М.М.,ЕМФ,ассистент,кандидат наук
Смирнова А.А.,ИЭиУ,профессор,доктор наук
Кузнецов К.К.,ИЭиУ,старший преподаватель,доктор наук
Сидоров С.С.,ЕМФ,профессор,кандидат наук
Смирнова А.А.,ИЭиУ,доцент,доктор наук
Васильева В.В.,ИЭиУ,ассистент,без степени
Морозов М.М.,ГФ,старший преподаватель,доктор наук
Иванов И.И.,ИЭиУ,доцент,без степени
Морозов М.М.,ИЭиУ,старший преподаватель,без степени
Кузнецов К.К.,ИЭиУ,ассистент,без степени
Морозов М.М.,ЕМФ,профессор,кандидат наук
Кузнецов К.К.,ЮФ,старший преподаватель,без степени
Михайлов М.М.,ФИиВТ,профессор,доктор наук
Петров П.П.,ГФ,старший преподаватель,кандидат наук
Михайлов М.М.,ФИиВТ,старший преподаватель,доктор наук
Морозов М.М.,ЕМФ,ассистент,кандидат наук
Волков В.В.,ФИиВТ,профессор,кандидат наук
Федорова Ф.Ф.,ЕМФ,старший преподаватель,без степени
Петров П.П.,ЕМФ,доцент,кандидат наук
Волков В.В.,ЕМФ,старший преподаватель,доктор наук
Кузнецов К.К.,ИЭиУ,старший преподаватель,без степени
Сидоров С.С.,ФИиВТ,профессор,доктор наук
Иванов И.И.,ФИиВТ,старший преподаватель,доктор наук
Морозов М.М.,ЕМФ,профессор,без степени
Кузнецов К.К.,ГФ,доцент,доктор наук
Кузнецов К.К.,ГФ,профессор,кандидат наук
Михайлов М.М.,ЮФ,профессор,кандидат наук
Васильева В.В.,ЮФ,профессор,без степени
Кузнецов К.К.,ИЭиУ,старший преподаватель,кандидат наук
Петров П.П.,ЕМФ,профессор,без степени
Кузнецов К.К.,ФИиВТ,ассистент,кандидат наук
Сидоров С.С.,ИЭиУ,доцент,доктор наук
Михайлов М.М.,ГФ,старший преподаватель,доктор наук
Петров П.П.,ЮФ,профессор,кандидат наук
Васильева В.В.,ГФ,доцент,доктор наук
Петров П.П.,ФИиВТ,старший преподаватель,кандидат наук
Васильева В.В.,ЕМФ,профессор,доктор наук
Васильева В.В.,ФИиВТ,ассистент,кандидат наук
Волков В.В.,ЕМФ,профессор,без степени
Морозов М.М.,ЮФ,профессор,кандидат наук
Кузнецов К.К.,ЮФ,доцент,кандидат наук
Васильева В.В.,ИЭиУ,старший преподаватель,кандидат наук
Кузнецов К.К.,ГФ,старший преподаватель,кандидат наук
Смирнова А.А.,ЕМФ,старший преподаватель,без степени
Федорова Ф.Ф.,ЕМФ,профессор,доктор наук
Иванов И.И.,ЮФ,профессор,без степени
Морозов М.М.,ГФ,профессор,кандидат наук
Кузнецов К.К.,ИЭиУ,доцент,доктор наук
Петров П.П.,ФИиВТ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ЮФ,старший преподаватель,доктор наук
Иванов И.И.,ЕМФ,старший преподаватель,без степени
Волков В.В.,ИЭиУ,профессор,доктор наук
Волков В.В.,ЕМФ,старший преподаватель,доктор наук
Сидоров С.С.,ГФ,доцент,кандидат наук
Кузнецов К.К.,ИЭиУ,профессор,доктор наук
Сидоров С.С.,ИЭиУ,профессор,доктор наук
Петров П.П.,ГФ,доцент,доктор наук
Федорова Ф.Ф.,ЮФ,доцент,доктор наук
Смирнова А.А.,ЕМФ,ассистент,доктор наук
Федорова Ф.Ф.,ГФ,ассистент,доктор наук
Федорова Ф.Ф.,ГФ,ассистент,доктор наук
Федорова Ф.Ф.,ЕМФ,доцент,доктор наук
Петров П.П.,ИЭиУ,старший преподаватель,без степени
Петров П.П.,ИЭиУ,старший преподаватель,кандидат наук
Смирнова А.А.,ФИиВТ,профессор,без степени
Васильева В.В.,ЕМФ,ассистент,кандидат наук
Михайлов М.М.,ФИиВТ,ассистент,доктор наук
Сидоров С.С.,ЮФ,доцент,доктор наук
Кузнецов К.К.,ЕМФ,доцент,без степени
Морозов М.М.,ЮФ,профессор,кандидат наук
Сидоров С.С.,ЮФ,доцент,кандидат наук
Сидоров С.С.,ЕМФ,ассистент,доктор наук
Федорова Ф.Ф.,ГФ,профессор,без степени
Федорова Ф.Ф.,ФИиВТ,профессор,кандидат наук
Морозов М.М.,ЮФ,доцент,без степени
Кузнецов К.К.,ЕМФ,профессор,без степени
Кузнецов К.К.,ИЭиУ,профессор,кандидат наук
Морозов М.М.,ЮФ,старший преподаватель,доктор наук
Сидоров С.С.,ЮФ,ассистент,кандидат наук
Михайлов М.М.,ЮФ,ассистент,без степени
Михайлов М.М.,ИЭиУ,профессор,кандидат наук
Смирнова А.А.,ЮФ,старший преподаватель,без степени
Смирнова А.А.,ИЭиУ,старший преподаватель,доктор наук
Смирнова А.А.,ЕМФ,доцент,кандидат наук
Морозов М.М.,ИЭиУ,доцент,без степени
Волков В.В.,ФИиВТ,доцент,доктор наук
Федорова Ф.Ф.,ФИиВТ,доцент,без степени
Кузнецов К.К.,ЕМФ,доцент,кандидат наук
Сидоров С.С.,ЕМФ,доцент,без степени
Сидоров С.С.,ИЭиУ,ассистент,кандидат наук
Федорова Ф.Ф.,ФИиВТ,старший преподаватель,без степени
Волков В.В.,ГФ,ассистент,кандидат наук
Иванов И.И.,ЕМФ,старший преподаватель,без степени
Кузнецов К.К.,ФИиВТ,профессор,кандидат наук
Сидоров С.С.,ГФ,ассистент,без степени
Федорова Ф.Ф.,ГФ,доцент,без степени
Иванов И.И.,ЮФ,доцент,кандидат наук
Сидоров С.С.,ЮФ,ассистент,без степени
Иванов И.И.,ЕМФ,старший преподаватель,доктор наук
Васильева В.В.,ЕМФ,старший преподаватель,без степени
Петров П.П.,ЮФ,профессор,без степени
Михайлов М.М.,ИЭиУ,ассистент,без степени
Смирнова А.А.,ИЭиУ,старший преподаватель,кандидат наук
Сидоров С.С.,ИЭиУ,доцент,кандидат наук
Иванов И.И.,ИЭиУ,ассистент,кандидат наук
Сидоров С.С.,ИЭиУ,профессор,доктор наук
Васильева В.В.,ИЭиУ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ИЭиУ,старший преподаватель,доктор наук
Кузнецов К.К.,ЕМФ,старший преподаватель,кандидат наук
Петров П.П.,ЮФ,доцент,без степени
Петров П.П.,ФИиВТ,профессор,доктор наук
Иванов И.И.,ФИиВТ,профессор,кандидат наук
Васильева В.В.,ИЭиУ,старший преподаватель,кандидат наук
Смирнова А.А.,ИЭиУ,доцент,кандидат наук
Морозов М.М.,ИЭиУ,ассистент,доктор наук
Сидоров С.С.,ФИиВТ,профессор,без степени
Сидоров С.С.,ЮФ,доцент,доктор наук
Федорова Ф.Ф.,ЕМФ,старший преподаватель,без степени
Васильева В.В.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ЮФ,профессор,кандидат наук
Михайлов М.М.,ЕМФ,ассистент,доктор наук
Федорова Ф.Ф.,ФИиВТ,старший преподаватель,доктор наук
Сидоров С.С.,ГФ,профессор,кандидат наук
Васильева В.В.,ЮФ,доцент,доктор наук
Иванов И.И.,ИЭиУ,ассистент,кандидат наук
Волков В.В.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ИЭиУ,ассистент,доктор наук
Михайлов М.М.,ЕМФ,старший преподаватель,без степени
Федорова Ф.Ф.,ГФ,доцент,кандидат наук
Морозов М.М.,ГФ,ассистент,кандидат наук
Иванов И.И.,ЮФ,старший преподаватель,доктор наук
Сидоров С.С.,ЕМФ,старший преподаватель,кандидат наук
Васильева В.В.,ИЭиУ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,старший преподаватель,кандидат наук
Сидоров С.С.,ФИиВТ,старший преподаватель,кандидат наук
Петров П.П.,ИЭиУ,старший преподаватель,доктор наук
Васильева В.В.,ЮФ,профессор,без степени
Михайлов М.М.,ЮФ,профессор,доктор наук
Федорова Ф.Ф.,ЕМФ,профессор,доктор наук
Кузнецов К.К.,ЕМФ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,доцент,доктор наук
Волков В.В.,ГФ,ассистент,без степени
Михайлов М.М.,ГФ,доцент,без степени
Кузнецов К.К.,ГФ,старший преподаватель,кандидат наук
Васильева В.В.,ЮФ,доцент,кандидат наук
Петров П.П.,ИЭиУ,старший преподаватель,без степени
Сидоров С.С.,ГФ,ассистент,кандидат наук
Кузнецов К.К.,ЮФ,доцент,кандидат наук
Михайлов М.М.,ИЭиУ,доцент,доктор наук
Волков В.В.,ФИиВТ,доцент,доктор наук
Михайлов М.М.,ФИиВТ,доцент,доктор наук
Федорова Ф.Ф.,ИЭиУ,доцент,без степени
Иванов И.И.,ФИиВТ,профессор,без степени
Волков В.В.,ГФ,профессор,доктор наук
Смирнова А.А.,ГФ,профессор,доктор наук
Федорова Ф.Ф.,ГФ,профессор,доктор наук
Сидоров С.С.,ФИиВТ,ассистент,доктор наук
Сидоров С.С.,ЮФ,старший преподаватель,кандидат наук
Волков В.В.,ГФ,профессор,доктор наук
Михайлов М.М.,ФИиВТ,профессор,без степени
Смирнова А.А.,ИЭиУ,ассистент,без степени
Иванов И.И.,ФИиВТ,старший преподаватель,без степени
Иванов И.И.,ИЭиУ,доцент,кандидат наук
Морозов М.М.,ФИиВТ,ассистент,без степени
Смирнова А.А.,ИЭиУ,доцент,доктор наук
Кузнецов К.К.,ЮФ,профессор,без степени
Сидоров С.С.,ГФ,доцент,доктор наук
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Сидоров С.С.,ГФ,доцент,кандидат наук
Федорова Ф.Ф.,ЕМФ,старший преподаватель,без степени
Михайлов М.М.,ЕМФ,профессор,доктор наук
Михайлов М.М.,ФИиВТ,старший преподаватель,кандидат наук
Михайлов М.М.,ЕМФ,ассистент,доктор наук
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Морозов М.М.,ГФ,профессор,доктор наук
Петров П.П.,ЮФ,ассистент,без степени
Морозов М.М.,ФИиВТ,профессор,кандидат наук
Иванов И.И.,ЮФ,профессор,доктор наук
Волков В.В.,ГФ,доцент,кандидат наук
Михайлов М.М.,ГФ,старший преподаватель,без степени
Морозов М.М.,ГФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ИЭиУ,ассистент,без степени
Васильева В.В.,ЕМФ,старший преподаватель,доктор наук
Михайлов М.М.,ГФ,доцент,кандидат наук
Петров П.П.,ГФ,доцент,доктор наук
Михайлов М.М.,ФИиВТ,старший преподаватель,кандидат наук
Волков В.В.,ФИиВТ,профессор,без степени
Васильева В.В.,ГФ,ассистент,кандидат наук
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ФИиВТ,ассистент,без степени
Васильева В.В.,ЮФ,доцент,кандидат наук
Петров П.П.,ФИиВТ,профессор,без степени
Васильева В.В.,ЮФ,старший преподаватель,доктор наук
Смирнова А.А.,ЮФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ЕМФ,доцент,кандидат наук
Васильева В.В.,ФИиВТ,старший преподаватель,кандидат наук
Кузнецов К.К.,ЕМФ,доцент,без степени
Михайлов М.М.,ФИиВТ,старший преподаватель,без степени
Волков В.В.,ИЭиУ,ассистент,кандидат наук
Смирнова А.А.,ГФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ИЭиУ,ассистент,кандидат наук
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Кузнецов К.К.,ЮФ,доцент,доктор наук
Петров П.П.,ГФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ЮФ,ассистент,кандидат наук
Федорова Ф.Ф.,ГФ,старший преподаватель,доктор наук
Волков В.В.,ЕМФ,ассистент,доктор наук
Смирнова А.А.,ГФ,старший преподаватель,без степени
Петров П.П.,ФИиВТ,профессор,доктор наук
Иванов И.И.,ГФ,старший преподаватель,без степени
Морозов М.М.,ФИиВТ,доцент,кандидат наук
Сидоров С.С.,ЮФ,профессор,без степени
Кузнецов К.К.,ЮФ,ассистент,кандидат наук
Смирнова А.А.,ГФ,старший преподаватель,доктор наук
Васильева В.В.,ИЭиУ,доцент,без степени
Сидоров С.С.,ЕМФ,ассистент,доктор наук
Смирнова А.А.,ЕМФ,доцент,без степени
Петров П.П.,ГФ,старший преподаватель,доктор наук
Смирнова А.А.,ГФ,старший преподаватель,без степени
Иванов И.И.,ЕМФ,старший преподаватель,кандидат наук
Смирнова А.А.,ИЭиУ,ассистент,доктор наук
Петров П.П.,ИЭиУ,ассистент,доктор наук
Смирнова А.А.,ЕМФ,ассистент,без степени
Волков В.В.,ФИиВТ,доцент,кандидат наук
Сидоров С.С.,ГФ,профессор,без степени
Михайлов М.М.,ИЭиУ,доцент,без степени
Волков В.В.,ИЭиУ,профессор,кандидат наук
Смирнова А.А.,ЮФ,старший преподаватель,без степени
Морозов М.М.,ЕМФ,ассистент,доктор наук
Кузнецов К.К.,ИЭиУ,доцент,кандидат наук
Волков В.В.,ЕМФ,ассистент,доктор наук
Петров П.П.,ЕМФ,старший преподаватель,доктор наук
Морозов М.М.,ЕМФ,доцент,доктор наук
Федорова Ф.Ф.,ГФ,профессор,доктор наук
Смирнова А.А.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ЮФ,ассистент,без степени
Морозов М.М.,ИЭиУ,старший преподаватель,без степени
Морозов М.М.,ФИиВТ,профессор,без степени
Кузнецов К.К.,ИЭиУ,ассистент,без степени
Волков В.В.,ЕМФ,ассистент,кандидат наук
Михайлов М.М.,ЕМФ,доцент,доктор наук
Петров П.П.,ГФ,профессор,без степени
Морозов М.М.,ГФ,ассистент,доктор наук
Петров П.П.,ИЭиУ,старший преподаватель,без степени
Иванов И.И.,ИЭиУ,ассистент,доктор наук
Иванов И.И.,ЮФ,доцент,доктор наук
Смирнова А.А.,ЕМФ,доцент,доктор наук
Смирнова А.А.,ИЭиУ,старший преподаватель,доктор наук
Петров П.П.,ЕМФ,старший преподаватель,доктор наук
Иванов И.И.,ФИиВТ,доцент,кандидат наук
Волков В.В.,ИЭиУ,доцент,без степени
Иванов И.И.,ГФ,доцент,кандидат наук
Иванов И.И.,ГФ,ассистент,без степени
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ИЭиУ,профессор,без степени
Смирнова А.А.,ЮФ,ассистент,доктор наук
Кузнецов К.К.,ГФ,ассистент,кандидат наук
Морозов М.М.,ЮФ,доцент,кандидат наук
Морозов М.М.,ГФ,ассистент,доктор наук
Смирнова А.А.,ЮФ,ассистент,доктор наук
Михайлов М.М.,ИЭиУ,доцент,кандидат наук
Сидоров С.С.,ГФ,старший преподаватель,без степени
Смирнова А.А.,ИЭиУ,доцент,без степени
Волков В.В.,ГФ,ассистент,доктор наук
Морозов М.М.,ИЭиУ,доцент,без степени
Иванов И.И.,ГФ,доцент,без степени
Волков В.В.,ЮФ,старший преподаватель,кандидат наук
Михайлов М.М.,ГФ,ассистент,кандидат наук
Волков В.В.,ИЭиУ,доцент,без степени
Васильева В.В.,ЕМФ,старший преподаватель,доктор наук
Михайлов М.М.,ЮФ,профессор,без степени
Морозов М.М.,ЮФ,ассистент,без степени
Кузнецов К.К.,ФИиВТ,ассистент,доктор наук
Волков В.В.,ЮФ,доцент,кандидат наук
Волков В.В.,ЕМФ,доцент,доктор наук
Петров П.П.,ЕМФ,профессор,доктор наук
Петров П.П.,ЮФ,доцент,кандидат наук
Кузнецов К.К.,ФИиВТ,ассистент,кандидат наук
Петров П.П.,ГФ,ассистент,доктор наук
Федорова Ф.Ф.,ФИиВТ,старший преподаватель,кандидат наук
Иванов И.И.,ИЭиУ,профессор,доктор наук
Васильева В.В.,ГФ,профессор,доктор наук
Петров П.П.,ЕМФ,ассистент,без степени
Михайлов М.М.,ИЭиУ,старший преподаватель,доктор наук
Петров П.П.,ФИиВТ,ассистент,без степени
Волков В.В.,ИЭиУ,профессор,доктор наук
Васильева В.В.,ФИиВТ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ЕМФ,доцент,без степени
Петров П.П.,ЕМФ,старший преподаватель,без степени
Волков В.В.,ИЭиУ,доцент,кандидат наук
Сидоров С.С.,ЕМФ,старший преподаватель,без степени
Сидоров С.С.,ФИиВТ,ассистент,доктор наук
Иванов И.И.,ГФ,доцент,без степени
Михайлов М.М.,ЮФ,профессор,кандидат наук
Петров П.П.,ФИиВТ,профессор,доктор наук
Волков В.В.,ГФ,ассистент,доктор наук
Михайлов М.М.,ИЭиУ,ассистент,без степени
Иванов И.И.,ЕМФ,доцент,доктор наук
Федорова Ф.Ф.,ФИиВТ,доцент,кандидат наук
Морозов М.М.,ЕМФ,профессор,без степени
Смирнова А.А.,ЕМФ,ассистент,без степени
Смирнова А.А.,ИЭиУ,профессор,без степени
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Петров П.П.,ИЭиУ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ЮФ,ассистент,без степени
Михайлов М.М.,ФИиВТ,ассистент,доктор наук
Михайлов М.М.,ЕМФ,ассистент,без степени
Васильева В.В.,ИЭиУ,доцент,кандидат наук
Иванов И.И.,ЮФ,профессор,без степени
Волков В.В.,ГФ,старший преподаватель,без степени
Морозов М.М.,ИЭиУ,ассистент,кандидат наук
Федорова Ф.Ф.,ЮФ,ассистент,без степени
Сидоров С.С.,ГФ,ассистент,без степени
Иванов И.И.,ЮФ,старший преподаватель,доктор наук
Михайлов М.М.,ЕМФ,профессор,кандидат наук
